"Date","Blacksburg","Charlottesville","Harrisonburg","Lynchburg","Richmond","Roanoke","Staunton-Waynesboro","VB-Norfolk","Washington-Alexandria","Winchester","VA"
"01/01/2005","169.41","193.56","163.84","151.32","173.52","157.83","160.77","195.01","227.55","211.07","198.545642084"
"04/01/2005","175.06","206.01","169.43","154.61","181.48","162.51","173.63","209.02","244.53","224.09","209.865910263"
"07/01/2005","179.55","213.34","180.15","159.55","189.66","167.37","179.58","220.26","257.72","238.53","219.819494585"
"10/01/2005","182.73","221.35","186.48","163.57","195.62","170.23","187.62","228.8","269.07","246.26","225.961835998"
"01/01/2006","181.05","225.49","191.25","166.63","201.45","174.34","195.61","236.26","274.15","252.89","231.175863847"
"04/01/2006","189.26","231.88","194.98","170.91","207.54","178.87","198.36","242.85","278.55","259.16","235.394533265"
"07/01/2006","194.75","235.54","200.81","176.56","210.56","182.49","203.25","246.68","279.94","253.96","236.905621454"
"10/01/2006","196.89","237.35","203.6","180.19","214.23","185.02","204.04","250.71","281.83","257.58","240.216606498"
"01/01/2007","194.79","239.99","203.22","183.53","216.66","188.2","208.91","252.33","279.56","252.85","241.129448169"
"04/01/2007","197.52","241","205.54","185.34","219.8","191.03","207.75","254.37","277.63","249.28","241.691593605"
"07/01/2007","197.42","240.43","202.97","185.08","218.63","189.49","207.14","253.73","271.68","241.43","238.803506962"
"10/01/2007","200.66","243.75","206.62","188.34","219.63","190.63","210.59","253.96","265.28","235.77","238.12790098"
"01/01/2008","201.89","241.28","206.04","188.57","219.44","193.74","209.07","253.03","257.87","236.05","236.905621454"
"04/01/2008","199.1","235.94","206.7","188.34","216.24","191.89","207.7","248.39","241.97","219.22","230.304280557"
"07/01/2008","200.77","231.69","199.52","185.44","212.72","189.91","205.98","244.88","229.68","206.3","223.991748324"
"10/01/2008","200.35","232.02","202.72","186.78","211.61","191.68","204.73","242.63","225.61","197.14","222.227952553"
"01/01/2009","202.55","231.01","202.35","187.92","210.49","193.57","205.64","241.92","225.67","201.69","223.115007736"
"04/01/2009","200.2","225.25","198.91","187.24","205.05","192.52","200.62","236.59","218.17","194.13","217.483238783"
"07/01/2009","195.17","221.79","194.22","183.08","199.46","188.34","196.85","231.17","213.36","187.66","212.454873646"
"10/01/2009","194.27","215.81","193.81","183.43","197.72","187.52","197.58","228.5","214.1","175.47","210.892212481"
"01/01/2010","189.44","216.7","188.83","180.35","194.45","184.09","191.15","225.82","211.88","174.67","208.024755028"
"04/01/2010","185.84","213.25","185.56","179.35","190.88","178.74","190.91","223.12","212.25","175.11","206.750902527"
"07/01/2010","191.62","217.47","186.65","180.42","191.56","183.08","190.81","225.43","214.84","174.57","208.896338319"
"10/01/2010","193.08","214.25","186.67","180.25","190.49","183.39","188.55","222.55","214.23","172.5","207.751418257"
"01/01/2011","190.19","211.23","179.97","176.46","184.2","178.38","184.26","216.11","209.77","170.73","202.939659618"
"04/01/2011","185.59","205.21","178.91","173.74","180.34","174.69","180.82","210.45","209.37","168.54","200.711707065"
"07/01/2011","185.31","205.91","182.19","173.9","179.27","174.83","181.89","209.55","212.14","170.83","202.289840124"
"10/01/2011","184.36","209.98","183.05","174.65","180.04","176.13","181.54","210.95","214.05","171.42","203.70293966"
"01/01/2012","183.95","207.48","179.46","174.41","178.25","172.74","177.56","207.57","212.81","167.54","201.51108819"
"04/01/2012","185.42","203.49","177.45","172.17","176.26","170.51","180.81","205.36","212.29","168.59","200.159876225"
"07/01/2012","181.74","204.53","178.58","175.16","178.25","173.27","180.6","207.59","215.46","167.63","202.738525013"
"10/01/2012","186.29","205.5","180.16","174.47","178.81","173.16","180.69","207.99","217.01","172.16","203.584321815"
"01/01/2013","185.29","205.41","178.53","172.93","178.16","172.13","181.47","206.97","218.78","173.74","203.357400722"
"04/01/2013","190.26","207.75","178.58","175.63","179.61","171.62","180.87","207.64","223.39","175.31","205.57503868"
"07/01/2013","188.52","206.57","180.34","174.77","181.52","172.49","180.81","206.62","227.27","181.55","205.992779783"
"10/01/2013","185.08","207.54","178.26","176.21","181.97","170.07","175.63","205.4","229.33","178.22","206.214543579"
"01/01/2014","185.65","207.72","181.76","175.28","182.75","171.52","178.63","207.83","231.21","183.59","207.261474987"
"04/01/2014","189.79","207.31","179.67","176.31","187.88","174.14","183.83","209.25","236.19","188.29","210.881897886"
"07/01/2014","185.95","216.78","184.46","173.01","187.76","174.53","187.47","211.32","237.98","189.84","211.949458484"
"10/01/2014","191.14","213.74","182.64","176.14","188.8","176.25","184.46","214.83","241.58","187.28","214.06395049"
"01/01/2015","188.03","215.31","185.57","177.14","189.97","178.26","184.03","215.07","242.11","193.01","214.801444043"
"04/01/2015","195.22","221.24","189.64","177.6","194.05","177.1","186.87","215.5","245.41","189.83","216.895306859"
"07/01/2015","189.58","219.8","185.35","179.95","194.71","176.67","185.89","215.57","248.44","192.45","217.854564208"
"10/01/2015","197.12","220.8","193.95","183.17","198.13","177.01","185.04","219.18","250.21","191.22","219.566787004"
"01/01/2016","199.09","221.92","188.11","181.25","196.9","177.18","182.39","215.41","251.65","193.86","219.355337803"
"04/01/2016","198.64","228.68","193.41","184.11","201.37","179.19","191.21","220.83","255.59","196.91","223.486333161"
"07/01/2016","197.81","224.77","192.72","183.22","205.01","183.01","193.63","223.93","257.46","201.43","225.337802991"
"10/01/2016","197.68","228.19","190.07","183.57","206.18","184.42","198.03","223.57","260.33","209.06","226.42599278"
