"date","year","quarter","rgdpva","0","avagdp"
"01/01/2005","2005","1","389232","0","0"
"04/01/2005","2005","2","395633","0.0674213514725","6.57808196654"
"07/01/2005","2005","3","400084","0.0457664324715","4.50013017114"
"10/01/2005","2005","4","400325","0.0024116720037","0.240949400626"
"01/01/2006","2006","1","406721","0.0654560441063","6.39080746893"
"04/01/2006","2006","2","407145","0.0041764598388","0.416993467266"
"07/01/2006","2006","3","405394","-0.0170920592682","-1.72027164769"
"10/01/2006","2006","4","403468","-0.0188687348454","-1.90037346384"
"01/01/2007","2007","1","405952","0.0248548471982","2.4626488346"
"04/01/2007","2007","2","406157","0.00202147382371","0.201994324452"
"07/01/2007","2007","3","410507","0.0435337468278","4.28405764273"
"10/01/2007","2007","4","409975","-0.00517376530384","-0.518383364961"
"01/01/2008","2008","1","405176","-0.0460066388078","-4.68223672175"
"04/01/2008","2008","2","409230","0.0406267941056","4.00221138468"
"07/01/2008","2008","3","410079","0.00832437206233","0.829851183931"
"10/01/2008","2008","4","404422","-0.0540482800819","-5.51796117333"
"01/01/2009","2009","1","403236","-0.011678821941","-1.1730321298"
"04/01/2009","2009","2","406025","0.0279545379796","2.7666180599"
"07/01/2009","2009","3","407968","0.019279518787","1.91416784681"
"10/01/2009","2009","4","411980","0.0399204897891","3.93364185426"
"01/01/2010","2010","1","411138","-0.00815012583504","-0.81751541337"
"04/01/2010","2010","2","416518","0.05337891696","5.2342522462"
"07/01/2010","2010","3","419185","0.0258593872122","2.56123384824"
"10/01/2010","2010","4","420772","0.0152298879575","1.51436716486"
"01/01/2011","2011","1","415297","-0.05104013151","-5.20471894518"
"04/01/2011","2011","2","418373","0.0299577776322","2.9626989841"
"07/01/2011","2011","3","421101","0.0263382010782","2.60819890385"
"10/01/2011","2011","4","424127","0.0290550100541","2.87436980677"
"01/01/2012","2012","1","422517","-0.0150978905721","-1.51841311683"
"04/01/2012","2012","2","423343","0.00784276459951","0.781980370021"
"07/01/2012","2012","3","423176","-0.00157698328731","-0.157791672474"
"10/01/2012","2012","4","420039","-0.0293238769291","-2.96519651398"
"01/01/2013","2013","1","423580","0.0341494863765","3.3720678318"
"04/01/2013","2013","2","420837","-0.0256524892729","-2.59030171396"
"07/01/2013","2013","3","422109","0.0121451170021","1.20901916894"
"10/01/2013","2013","4","423593","0.0141370523837","1.40627183974"
"01/01/2014","2014","1","420082","-0.0327445327028","-3.31544666697"
"04/01/2014","2014","2","422974","0.0278231554682","2.75374807776"
"07/01/2014","2014","3","424738","0.0167865237501","1.66818764274"
"10/01/2014","2014","4","426507","0.016764050634","1.66596819686"
"01/01/2015","2015","1","427185","0.00637380765661","0.635862951839"
"04/01/2015","2015","2","431236","0.038475027686","3.7932043494"
"07/01/2015","2015","3","434042","0.0262826521616","2.60275116178"
"10/01/2015","2015","4","435781","0.016122669811","1.60260988568"
"01/01/2016","2016","1","433829","-0.0177972301659","-1.79172566037"
"04/01/2016","2016","2","434529","0.0064697937585","0.645415590014"
"07/01/2016","2016","3","436957","0.0225386675491","2.23506371266"
